primary_key,address,neighborhood
410,"R PROF MARIA LEONOR BUESCU, LT. 123",PADRE CRUZ
411,"R VASCO GAMA FERNANDES, N. 17",ALTA LISBOA CENTRO
412,"R RIO ALVA, LT. 13",PADRE CRUZ
413,"R ALM SARMENTO RODRIGUES, LT. 4",JOAO NASCIMENTO COSTA
414,"R ALM SARMENTO RODRIGUES, LT. 6",JOAO NASCIMENTO COSTA
415,"R CARLOS CONDE, N. 5",LIBERDADE
416,"R BARCELONA, LT. 127",PADRE CRUZ
417,"AV MOUZINHO ALBUQUERQUE, LT. 53",VALE SANTO ANTONIO
418,"AV MOUZINHO ALBUQUERQUE, LT. 59",VALE SANTO ANTONIO
419,"R ALM SARMENTO RODRIGUES, LT. 3",JOAO NASCIMENTO COSTA
420,"RUA DA IGREJA, N. 9",LIBERDADE
421,"R BARCELONA, LT. 128",PADRE CRUZ
422,"R JORGE VIEIRA, LT. 129",PADRE CRUZ
